Tárgy neve;Tárgykód;Kredit;Előadás;Gyakorlat;Labor;Konzultáció;Követelmény;Félév;Típus;Előtanulmány
Technikusi gyakorlat;BMEEODHAI42;0;0;0;0;0;Aláírás;7;Agazat_infrastruktura;BMEEOVVAT43,BMEEOUVAI43,BMEEOVKAI41,
BIM az építőiparban;BMEEOFTAM41;3;2;0;0;0;Félévközi;5;Agazat_infrastruktura;-
Hidak és infrastruktúra szerkezetek;BMEEOHSAS43;3;2;0;0;0;Vizsga;5;Agazat_infrastruktura;BMEEOHSAT42,BMEEOHSAT43,
Földalatti műtárgyak, mélyalapozás;BMEEOGMAS42;3;2;1;0;0;Félévközi;6;Agazat_infrastruktura;BMEEOGMAT45,
Kőzetmechanika;BMEEOGMAS41;3;1;1;0;0;Félévközi;6;Agazat_infrastruktura;BMEEOGMAT41,
Útépítés és fenntartás;BMEEOUVA-E3;3;3;0;0;0;Vizsga;6;Spec_kozlekedesiletesitmeny;BMEEOUVAI41,
Vasútépítés és fenntartás;BMEEOUVA-E4;3;3;0;0;0;Vizsga;6;Spec_kozlekedesiletesitmeny;BMEEOUVAI41,
Úttervezés;BMEEOUVA-E1;3;0;2;0;0;Vizsga;7;Spec_kozlekedesiletesitmeny;BMEEOUVAI43,
Vasúttervezés;BMEEOUVA-E2;3;0;2;0;0;Vizsga;7;Spec_kozlekedesiletesitmeny;BMEEOUVAI43,
Települési közlekedés;BMEEOUVA-E5;3;0;2;0;0;Félévközi;7;Spec_kozlekedesiletesitmeny;BMEEOUVAI42,BMEEOUVAI43,
Közlekedésépítés projektfeladat;BMEEOUVA-EP;6;0;0;0;2;Félévközi;7;Spec_kozlekedesiletesitmeny;BMEEODHAI41,BMEEOUVAI44,
Szakdolgozat előkészítő;BMEEODHA-ET;9;0;0;0;0;Félévközi;8;Spec_kozlekedesiletesitmeny;BMEEOUVA-EP,
Szakdolgozat;BMEEODHA-ES;15;0;0;0;0;Félévközi;8;Spec_kozlekedesiletesitmeny;BMEEODHA-ET!,
Vízkárelhárítás, vízhasznosítás;BMEEOVVA-F1;5;4;0;0;0;Vizsga;6;Spec_vizimernoki;BMEEOVVAT43,BMEEOVVAI41,BMEEOVVAI42,
Vízgazdálkodási projektek;BMEEOVVA-F4;2;2;0;0;0;Félévközi;6;Spec_vizimernoki;-
Vízgyűjtőgazdálkodás;BMEEOVVA-F2;3;2;0;0;0;Vizsga;7;Spec_vizimernoki;BMEEOVVAI43,BMEEOVKAI44!,
Hidroinformatika;BMEEOVVA-F3;5;2;1;0;0;Vizsga;7;Spec_vizimernoki;BMEEOVVAI42,
Vízépítés projektfeladat;BMEEOVVA-FP;6;0;0;0;2;Félévközi;7;Spec_vizimernoki;BMEEODHAI41,BMEEOVVA-F1,BMEEOVVA-F3!,
Szakdolgozat előkészítő;BMEEODHA-FT;9;0;0;0;0;Félévközi;8;Spec_vizimernoki;BMEEOVVA-FP,
Szakdolgozat;BMEEODHA-FS;15;0;0;0;0;Félévközi;8;Spec_vizimernoki;BMEEODHA-FT!,
Víz- és szennyvíztisztítás;BMEEOVKA-H1;4;3;0;0;0;Vizsga;6;Spec_vizkikozmu;BMEEOVKAI44,
Közműhálózatok tervezése;BMEEOVKA-H4;4;3;0;0;0;Vizsga;6;Spec_vizkikozmu;BMEEOVKAI41,
Környezeti kárelhárítás;BMEEOVKA-H2;4;3;0;0;0;Vizsga;7;Spec_vizkikozmu;BMEEOVKAI42,BMEEOVKAI44,BMEEOVVAI43,
Környezeti hatásvizsgálatok;BMEEOVKA-H3;3;3;0;0;0;Vizsga;7;Spec_vizkikozmu;BMEEOVKAI42,BMEEOVKAI44,BMEEOVKAI45,
Vízi közmű projektfeladat;BMEEOVKA-HP;6;0;0;0;2;Félévközi;7;Spec_vizkikozmu;BMEEODHAI41,BMEEOVKA-H1,BMEEOVKA-H4,
Szakdolgozat előkészítő;BMEEODHA-HT;9;0;0;0;0;Félévközi;8;Spec_vizkikozmu;BMEEOVKA-HP,
Szakdolgozat;BMEEODHA-HS;15;0;0;0;0;Félévközi;8;Spec_vizkikozmu;BMEEODHA-HT!,
Építmény-információs mod. és menedzsment;BMEEOFTA-M1;3;2;0;0;0;Félévközi;6;Spec_epitmenyinformacio;-
Építmény-információs rendszerek;BMEEOFTA-M2;6;0;0;4;0;Félévközi;6;Spec_epitmenyinformacio;BMEEOFTA-M1!,
BIM alkalmazások és technológiák;BMEEOEMA-M3;3;2;0;0;0;Vizsga;7;Spec_epitmenyinformacio;BMEEOFTAM41!,
Szakági együttműködés BIM alapokon;BMEEOTMA-M4;3;0;0;2;0;Félévközi;7;Spec_epitmenyinformacio;BMEEOFTAM41!,
Építmény-információs mod. és menedzs. proj.;BMEEOEMA-MP;6;0;0;0;0;Félévközi;7;Spec_epitmenyinformacio;BMEEODHAS41,BMEEODHAI41,BMEEODHAG41,
Szakdolgozat előkészítő;BMEEODHA-MT;9;0;0;0;0;Félévközi;8;Spec_epitmenyinformacio;BMEEOEMA-MP,
Szakdolgozat;BMEEODHA-MS;15;0;0;0;0;Félévközi;8;Spec_epitmenyinformacio;BMEEODHA-MT!,
Geotechnika;BMEEOGMA-C1;7;3;1;0;0;Vizsga;6;Spec_geotech;BMEEOGMAT45,
Betontechnológia I.;BMEEOEMA-K1;3;2;0;0;0;Vizsga;6;Spec_geotech;BMEEOEMAT43,
Mérnökgeológia;BMEEOGMA-C2;2;1;1;0;0;Vizsga;7;Spec_geotech;BMEEOGMAS41,
Mélyépítési műtárgyak;BMEEOHSA-B3;3;2;0;0;0;Vizsga;7;Spec_geotech;BMEEOHSAT43,BMEEOHSAS43,BMEEOGMAS42,
Mélyépítés projektfeladat;BMEEOGMA-CP;6;0;0;0;2;Félévközi;7;Spec_geotech;BMEEODHAI41,BMEEOGMA-C1,
Szakdolgozat előkészítő;BMEEODHA-CT;9;0;0;0;0;Félévközi;8;Spec_geotech;BMEEOGMA-CP,
Szakdolgozat;BMEEODHA-CS;15;0;0;0;0;Félévközi;8;Spec_geotech;BMEEODHA-CT!,
Jelmagyarázat:;;;;;;;;;;
Aláírás elegendő;~;;;;;;;;;
Ajánlott előkövetelmény;$;;;;;;;;;
Azonos félévben felvehető;!;;;;;;;;;
